"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 24 02:59:10 UTC 2026","Mon Aug 24 02:59:12 UTC 2026","2309","web-chromium","e2e-web/specs/responsive.spec.ts","Landscape Orientation","","","should render the login page in landscape without layout breakage",""
"passed","Mon Aug 24 02:59:19 UTC 2026","Mon Aug 24 02:59:27 UTC 2026","8328","web-webkit","e2e-web/specs/navigation.spec.ts","Back Button","","","should handle Ionic back button if present",""
"passed","Mon Aug 24 02:59:08 UTC 2026","Mon Aug 24 02:59:10 UTC 2026","2338","web-chromium","e2e-web/specs/responsive.spec.ts","Tablet Viewport","","","should display form inputs with adequate touch target size on tablet",""
"passed","Mon Aug 24 02:58:22 UTC 2026","Mon Aug 24 02:58:25 UTC 2026","2899","web-firefox","e2e-web/specs/login.spec.ts","Invalid Credentials","","","should show an error message when password is wrong",""
"passed","Mon Aug 24 02:57:04 UTC 2026","Mon Aug 24 02:57:04 UTC 2026","16","api","api/specs/workouts.spec.ts","POST /api/workouts","","","should create a new workout and return it with an id",""
"passed","Mon Aug 24 02:59:07 UTC 2026","Mon Aug 24 02:59:15 UTC 2026","7765","web-webkit","e2e-web/specs/navigation.spec.ts","Deep Linking","","","should load the profile page directly via URL",""
"passed","Mon Aug 24 02:57:04 UTC 2026","Mon Aug 24 02:57:04 UTC 2026","11","api","api/specs/workouts.spec.ts","POST /api/workouts","","","should return 401 when creating without authentication",""
"passed","Mon Aug 24 02:59:15 UTC 2026","Mon Aug 24 02:59:24 UTC 2026","9261","web-webkit","e2e-web/specs/navigation.spec.ts","Back Button","","","should return to the previous page when browser back is pressed",""
"passed","Mon Aug 24 02:57:05 UTC 2026","Mon Aug 24 02:57:05 UTC 2026","20","api","api/specs/workouts.spec.ts","Workout Filtering","","","should return workouts ordered newest first",""
"passed","Mon Aug 24 02:59:05 UTC 2026","Mon Aug 24 02:59:10 UTC 2026","4710","web-firefox","e2e-web/specs/responsive.spec.ts","Mobile Viewport","","","should complete full login flow on mobile viewport",""
"passed","Mon Aug 24 02:57:04 UTC 2026","Mon Aug 24 02:57:04 UTC 2026","10","api","api/specs/auth.spec.ts","POST /api/auth/login","","","should return 401 when the password is incorrect",""
"passed","Mon Aug 24 02:59:53 UTC 2026","Mon Aug 24 03:00:06 UTC 2026","13028","web-firefox","e2e-web/specs/workouts.spec.ts","Filter Workouts","","","should show all workouts when the search is cleared",""
"passed","Mon Aug 24 02:58:37 UTC 2026","Mon Aug 24 02:58:41 UTC 2026","4901","web-mobile-safari","e2e-web/specs/login.spec.ts","Invalid Credentials","","","should show an error message when email does not exist",""
"passed","Mon Aug 24 02:59:27 UTC 2026","Mon Aug 24 02:59:30 UTC 2026","2816","web-webkit","e2e-web/specs/responsive.spec.ts","Mobile Viewport","","","should display all login form elements on mobile",""
"passed","Mon Aug 24 02:58:48 UTC 2026","Mon Aug 24 02:58:52 UTC 2026","3453","web-mobile-safari","e2e-web/specs/login.spec.ts","Empty Field Validation","","","should enable the login button when both fields are filled",""
"passed","Mon Aug 24 02:57:04 UTC 2026","Mon Aug 24 02:57:05 UTC 2026","24","api","api/specs/workouts.spec.ts","Workout Filtering","","","should return only the requested user's workouts when filtering by userId",""
"passed","Mon Aug 24 02:58:50 UTC 2026","Mon Aug 24 02:58:56 UTC 2026","6538","web-chromium","e2e-web/specs/navigation.spec.ts","Deep Linking","","","should redirect unauthenticated users to login",""
"passed","Mon Aug 24 02:58:51 UTC 2026","Mon Aug 24 02:58:57 UTC 2026","5739","web-webkit","e2e-web/specs/navigation.spec.ts","Tab Navigation","","","should navigate to Workouts tab when tapped",""
"passed","Mon Aug 24 02:58:23 UTC 2026","Mon Aug 24 02:58:36 UTC 2026","12607","web-mobile-safari","e2e-web/specs/login.spec.ts","Successful Login","","","should redirect to dashboard after entering valid credentials",""
"passed","Mon Aug 24 02:58:54 UTC 2026","Mon Aug 24 02:59:01 UTC 2026","7639","web-chromium","e2e-web/specs/navigation.spec.ts","Back Button","","","should return to the previous page when browser back is pressed",""
"passed","Mon Aug 24 02:59:02 UTC 2026","Mon Aug 24 02:59:10 UTC 2026","7508","web-mobile-safari","e2e-web/specs/navigation.spec.ts","Deep Linking","","","should load the workouts page directly via URL",""
"passed","Mon Aug 24 02:58:15 UTC 2026","Mon Aug 24 02:58:21 UTC 2026","5989","web-firefox","e2e-web/specs/login.spec.ts","Successful Login","","","should redirect to dashboard after entering valid credentials",""
"passed","Mon Aug 24 02:58:49 UTC 2026","Mon Aug 24 02:58:56 UTC 2026","6968","web-firefox","e2e-web/specs/navigation.spec.ts","Deep Linking","","","should redirect unauthenticated users to login",""
"passed","Mon Aug 24 02:59:37 UTC 2026","Mon Aug 24 02:59:49 UTC 2026","12565","web-chromium","e2e-web/specs/workouts.spec.ts","Edit Workout","","","should allow editing a workout by clicking on it in the list",""
"passed","Mon Aug 24 03:00:03 UTC 2026","Mon Aug 24 03:00:14 UTC 2026","10525","web-mobile-safari","e2e-web/specs/workouts.spec.ts","Add Workout","","","should keep the submit button disabled while required fields are empty",""
"passed","Mon Aug 24 02:58:57 UTC 2026","Mon Aug 24 02:59:03 UTC 2026","5854","web-webkit","e2e-web/specs/navigation.spec.ts","Tab Navigation","","","should navigate to History tab when tapped",""
"passed","Mon Aug 24 02:59:14 UTC 2026","Mon Aug 24 02:59:23 UTC 2026","8712","web-mobile-safari","e2e-web/specs/navigation.spec.ts","Back Button","","","should return to the previous page when browser back is pressed",""
"passed","Mon Aug 24 02:57:04 UTC 2026","Mon Aug 24 02:57:04 UTC 2026","13","api","api/specs/auth.spec.ts","POST /api/auth/login","","","should return 401 when the email does not exist",""
"passed","Mon Aug 24 02:59:04 UTC 2026","Mon Aug 24 02:59:06 UTC 2026","2637","web-firefox","e2e-web/specs/responsive.spec.ts","Mobile Viewport","","","should display all login form elements on mobile",""
"passed","Mon Aug 24 02:58:21 UTC 2026","Mon Aug 24 02:58:34 UTC 2026","13122","web-webkit","e2e-web/specs/login.spec.ts","Successful Login","","","should store an auth token in localStorage after login",""
"passed","Mon Aug 24 02:58:39 UTC 2026","Mon Aug 24 02:58:43 UTC 2026","4438","web-chromium","e2e-web/specs/navigation.spec.ts","Tab Navigation","","","should navigate to History tab when tapped",""
